junction,period_date,traffic_risk,risk_score,year,month,total_accidents,fatal_accidents,injury_accidents,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,quarter,is_year_start,month_sin,month_cos,day_of_week,dow_sin,dow_cos,weekend_indicator,accidents_lag_1,accidents_lag_2,accidents_lag_3,accidents_rolling_mean_3,accidents_rolling_std_3,accidents_rolling_mean_6,accidents_rolling_std_6,accidents_trend_3_12,junction_target_enc,junction_ordinal_enc
Sakkardara Square,2022-08-01,LOW,0.0,2022,8,0,0,0,1.0,1.0,2.0,6.0,0.0,4.0,0.5,3,0,-0.866025,-0.5,0,0.0,1.0,0,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.222,1.5875000000000001,30
Sakkardara Square,2022-09-01,LOW,0.0,2022,9,0,0,0,0.0,0.0,1.0,6.0,0.0,4.0,0.5,3,0,-1.0,-0.0,3,0.433884,-0.900969,0,1.0,0.0,1.0,0.667,0.577,0.333,0.516,0.445,1.5875000000000001,30
Sakkardara Square,2022-10-01,LOW,4.42,2022,10,1,0,1,0.0,0.0,1.0,6.0,0.0,4.0,0.5,4,0,-0.866025,0.5,5,-0.974928,-0.222521,1,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.222,1.5875000000000001,30
Sakkardara Square,2022-11-01,LOW,2.76,2022,11,1,0,1,1.0,1.0,1.0,6.0,0.0,5.0,0.5,4,0,-0.5,0.866025,1,0.781831,0.62349,0,0.0,0.0,1.0,0.333,0.577,0.333,0.516,0.222,1.5875000000000001,30
Sakkardara Square,2022-12-01,LOW,0.0,2022,12,0,0,0,1.0,1.0,2.0,6.0,0.0,5.0,0.5,4,0,-0.0,1.0,3,0.433884,-0.900969,0,1.0,0.0,0.0,0.333,0.577,0.5,0.548,0.222,1.5875000000000001,30
Sakkardara Square,2023-01-01,LOW,3.87,2023,1,2,0,1,0.0,0.0,2.0,5.0,0.0,4.0,0.417,1,1,0.5,0.866025,6,-0.781831,0.62349,1,1.0,1.0,0.0,0.667,0.577,0.5,0.548,0.534,1.5875000000000001,30
Sakkardara Square,2023-02-01,LOW,0.0,2023,2,0,0,0,2.0,2.0,3.0,6.0,0.0,5.0,0.5,1,0,0.866025,0.5,2,0.974928,-0.222521,0,0.0,1.0,1.0,0.667,0.577,0.5,0.548,0.445,1.5875000000000001,30
Sakkardara Square,2023-03-01,LOW,0.0,2023,3,0,0,0,0.0,0.0,2.0,6.0,0.0,5.0,0.5,1,0,1.0,0.0,2,0.974928,-0.222521,0,2.0,0.0,1.0,1.0,1.0,0.667,0.816,0.667,1.5875000000000001,30
Sakkardara Square,2023-04-01,LOW,0.0,2023,4,0,0,0,0.0,0.0,2.0,6.0,0.0,5.0,0.5,2,0,0.866025,-0.5,5,-0.974928,-0.222521,1,0.0,2.0,0.0,0.667,1.155,0.667,0.816,0.445,1.5875000000000001,30
Sakkardara Square,2023-05-01,LOW,9.39,2023,5,1,0,1,0.0,0.0,0.0,6.0,0.0,5.0,0.5,2,0,0.5,-0.866025,0,0.0,1.0,0,0.0,0.0,2.0,0.667,1.155,0.667,0.816,0.445,1.5875000000000001,30
Sakkardara Square,2023-06-01,LOW,0.0,2023,6,0,0,0,1.0,1.0,1.0,6.0,0.0,5.0,0.5,2,0,0.0,-1.0,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.5,0.837,0.0,1.5875000000000001,30
Sakkardara Square,2023-07-01,LOW,5.52,2023,7,2,0,2,0.0,0.0,1.0,6.0,0.0,5.0,0.5,3,0,-0.5,-0.866025,5,-0.974928,-0.222521,1,1.0,0.0,0.0,0.333,0.577,0.5,0.837,0.222,1.5875000000000001,30
Sakkardara Square,2023-08-01,LOW,7.18,2023,8,2,0,1,2.0,2.0,3.0,7.0,0.0,6.0,0.583,3,0,-0.866025,-0.5,1,0.781831,0.62349,0,0.0,1.0,0.0,0.333,0.577,0.5,0.837,0.19,1.5875000000000001,30
Sakkardara Square,2023-09-01,LOW,0.0,2023,9,0,0,0,2.0,2.0,4.0,9.0,0.0,7.0,0.75,3,0,-1.0,-0.0,4,-0.433884,-0.900969,0,2.0,0.0,1.0,1.0,1.0,0.5,0.837,0.444,1.5875000000000001,30
Sakkardara Square,2023-10-01,LOW,0.0,2023,10,0,0,0,0.0,0.0,4.0,9.0,0.0,7.0,0.75,4,0,-0.866025,0.5,6,-0.781831,0.62349,1,2.0,2.0,0.0,1.333,1.155,0.833,0.983,0.592,1.5875000000000001,30
Sakkardara Square,2023-11-01,LOW,0.0,2023,11,0,0,0,0.0,0.0,2.0,8.0,0.0,6.0,0.667,4,0,-0.5,0.866025,2,0.974928,-0.222521,0,0.0,2.0,2.0,1.333,1.155,0.833,0.983,0.666,1.5875000000000001,30
Sakkardara Square,2023-12-01,LOW,2.76,2023,12,1,0,1,0.0,0.0,0.0,7.0,0.0,5.0,0.583,4,0,-0.0,1.0,4,-0.433884,-0.900969,0,0.0,0.0,2.0,0.667,1.155,0.833,0.983,0.381,1.5875000000000001,30
Sanvidhan Square,2020-01-01,LOW,0.0,2020,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.866025,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-02-01,LOW,0.0,2020,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.866025,0.5,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-03-01,LOW,0.0,2020,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-04-01,LOW,0.0,2020,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.866025,-0.5,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-05-01,LOW,0.0,2020,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.5,-0.866025,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-06-01,LOW,0.0,2020,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,-1.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-07-01,LOW,0.0,2020,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-0.5,-0.866025,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-08-01,LOW,0.0,2020,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-0.866025,-0.5,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-09-01,LOW,0.0,2020,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-1.0,-0.0,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-10-01,LOW,0.0,2020,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.866025,0.5,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-11-01,LOW,0.0,2020,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.5,0.866025,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2020-12-01,LOW,0.0,2020,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.0,1.0,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-01-01,LOW,0.0,2021,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.866025,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-02-01,LOW,0.0,2021,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.866025,0.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-03-01,LOW,0.0,2021,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-04-01,LOW,0.0,2021,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.866025,-0.5,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-05-01,LOW,0.0,2021,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.5,-0.866025,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-06-01,LOW,0.0,2021,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,-1.0,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-07-01,LOW,0.0,2021,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-0.5,-0.866025,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-08-01,LOW,0.0,2021,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-0.866025,-0.5,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-09-01,LOW,0.0,2021,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-1.0,-0.0,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-10-01,LOW,0.0,2021,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.866025,0.5,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-11-01,LOW,0.0,2021,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.5,0.866025,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2021-12-01,LOW,0.0,2021,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.0,1.0,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-01-01,LOW,0.0,2022,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.866025,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-02-01,LOW,0.0,2022,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.866025,0.5,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-03-01,LOW,0.0,2022,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-04-01,LOW,0.0,2022,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.866025,-0.5,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-05-01,LOW,0.0,2022,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.5,-0.866025,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-06-01,LOW,0.0,2022,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,-1.0,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-07-01,LOW,0.0,2022,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-0.5,-0.866025,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-08-01,LOW,0.0,2022,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-0.866025,-0.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-09-01,LOW,0.0,2022,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-1.0,-0.0,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-10-01,LOW,0.0,2022,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.866025,0.5,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-11-01,LOW,0.0,2022,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.5,0.866025,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2022-12-01,LOW,0.0,2022,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.0,1.0,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-01-01,LOW,0.0,2023,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.866025,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-02-01,LOW,0.0,2023,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.866025,0.5,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-03-01,LOW,0.0,2023,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-04-01,LOW,0.0,2023,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.866025,-0.5,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-05-01,LOW,0.0,2023,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.5,-0.866025,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-06-01,LOW,0.0,2023,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,-1.0,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-07-01,LOW,0.0,2023,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-0.5,-0.866025,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-08-01,LOW,0.0,2023,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-0.866025,-0.5,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-09-01,LOW,0.0,2023,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,-1.0,-0.0,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-10-01,LOW,0.0,2023,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.866025,0.5,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-11-01,LOW,0.0,2023,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.5,0.866025,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Sanvidhan Square,2023-12-01,LOW,0.0,2023,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,-0.0,1.0,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Shankar Nagar Square,2020-01-01,LOW,0.0,2020,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.866025,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2020-02-01,LOW,0.0,2020,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.866025,0.5,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2020-03-01,LOW,0.0,2020,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2020-04-01,LOW,0.0,2020,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.866025,-0.5,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2020-05-01,LOW,6.08,2020,5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.5,-0.866025,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2020-06-01,LOW,0.0,2020,6,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.083,2,0,0.0,-1.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2020-07-01,LOW,0.0,2020,7,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.083,3,0,-0.5,-0.866025,2,0.974928,-0.222521,0,1.0,0.0,0.0,0.333,0.577,0.167,0.408,1.332,1.3114583333333332,32
Shankar Nagar Square,2020-08-01,LOW,0.0,2020,8,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.083,3,0,-0.866025,-0.5,5,-0.974928,-0.222521,1,0.0,1.0,0.0,0.333,0.577,0.167,0.408,1.332,1.3114583333333332,32
Shankar Nagar Square,2020-09-01,LOW,0.0,2020,9,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,3,0,-1.0,-0.0,1,0.781831,0.62349,0,0.0,0.0,1.0,0.333,0.577,0.167,0.408,1.332,1.3114583333333332,32
Shankar Nagar Square,2020-10-01,LOW,0.0,2020,10,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,4,0,-0.866025,0.5,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.167,0.408,0.0,1.3114583333333332,32
Shankar Nagar Square,2020-11-01,LOW,0.0,2020,11,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,4,0,-0.5,0.866025,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.167,0.408,0.0,1.3114583333333332,32
Shankar Nagar Square,2020-12-01,LOW,0.0,2020,12,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,4,0,-0.0,1.0,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.167,0.408,0.0,1.3114583333333332,32
Shankar Nagar Square,2021-01-01,LOW,0.0,2021,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,1,1,0.5,0.866025,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2021-02-01,LOW,0.0,2021,2,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,1,0,0.866025,0.5,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2021-03-01,LOW,0.0,2021,3,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.083,1,0,1.0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2021-04-01,LOW,2.76,2021,4,1,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.083,2,0,0.866025,-0.5,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2021-05-01,LOW,4.42,2021,5,1,0,1,1.0,1.0,1.0,2.0,1.0,2.0,0.167,2,0,0.5,-0.866025,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3114583333333332,32
Shankar Nagar Square,2021-06-01,LOW,0.0,2021,6,0,0,0,1.0,1.0,2.0,2.0,0.0,2.0,0.167,2,0,0.0,-1.0,1,0.781831,0.62349,0,1.0,0.0,0.0,0.333,0.577,0.167,0.408,0.666,1.3114583333333332,32
Shankar Nagar Square,2021-07-01,LOW,0.0,2021,7,0,0,0,0.0,0.0,2.0,2.0,0.0,2.0,0.167,3,0,-0.5,-0.866025,3,0.433884,-0.900969,0,1.0,1.0,0.0,0.667,0.577,0.333,0.516,1.334,1.3114583333333332,32
Shankar Nagar Square,2021-08-01,LOW,1.1,2021,8,1,0,0,0.0,0.0,1.0,2.0,0.0,2.0,0.167,3,0,-0.866025,-0.5,6,-0.781831,0.62349,1,0.0,1.0,1.0,0.667,0.577,0.333,0.516,1.334,1.3114583333333332,32
Shankar Nagar Square,2021-09-01,LOW,0.0,2021,9,0,0,0,1.0,1.0,1.0,3.0,0.0,2.0,0.25,3,0,-1.0,-0.0,2,0.974928,-0.222521,0,0.0,0.0,1.0,0.333,0.577,0.333,0.516,0.444,1.3114583333333332,32
Shankar Nagar Square,2021-10-01,LOW,0.0,2021,10,0,0,0,0.0,0.0,1.0,3.0,0.0,2.0,0.25,4,0,-0.866025,0.5,4,-0.433884,-0.900969,0,1.0,0.0,0.0,0.333,0.577,0.5,0.548,0.444,1.3114583333333332,32
Shankar Nagar Square,2021-11-01,LOW,4.42,2021,11,1,0,1,0.0,0.0,1.0,3.0,0.0,2.0,0.25,4,0,-0.5,0.866025,0,0.0,1.0,0,0.0,1.0,0.0,0.333,0.577,0.5,0.548,0.444,1.3114583333333332,32
Shankar Nagar Square,2021-12-01,LOW,0.0,2021,12,0,0,0,1.0,1.0,1.0,4.0,0.0,3.0,0.333,4,0,-0.0,1.0,2,0.974928,-0.222521,0,0.0,0.0,1.0,0.333,0.577,0.333,0.516,0.333,1.3114583333333332,32
Shankar Nagar Square,2022-01-01,LOW,2.76,2022,1,1,0,1,0.0,0.0,1.0,4.0,0.0,3.0,0.333,1,1,0.5,0.866025,5,-0.974928,-0.222521,1,1.0,0.0,0.0,0.333,0.577,0.333,0.516,0.333,1.3114583333333332,32
Shankar Nagar Square,2022-02-01,LOW,0.0,2022,2,0,0,0,1.0,1.0,2.0,5.0,0.0,4.0,0.417,1,0,0.866025,0.5,1,0.781831,0.62349,0,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.266,1.3114583333333332,32
Shankar Nagar Square,2022-03-01,LOW,0.0,2022,3,0,0,0,0.0,0.0,1.0,5.0,0.0,4.0,0.417,1,0,1.0,0.0,1,0.781831,0.62349,0,1.0,0.0,1.0,0.667,0.577,0.5,0.548,0.534,1.3114583333333332,32
Shankar Nagar Square,2022-04-01,LOW,0.0,2022,4,0,0,0,0.0,0.0,1.0,5.0,0.0,4.0,0.417,2,0,0.866025,-0.5,4,-0.433884,-0.900969,0,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.266,1.3114583333333332,32
Shankar Nagar Square,2022-05-01,LOW,1.1,2022,5,1,0,0,0.0,0.0,0.0,4.0,0.0,3.0,0.333,2,0,0.5,-0.866025,6,-0.781831,0.62349,1,0.0,0.0,1.0,0.333,0.577,0.333,0.516,0.333,1.3114583333333332,32
Shankar Nagar Square,2022-06-01,LOW,2.76,2022,6,1,0,1,1.0,1.0,1.0,4.0,0.0,2.0,0.333,2,0,0.0,-1.0,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.333,0.516,0.0,1.3114583333333332,32
Shankar Nagar Square,2022-07-01,LOW,0.0,2022,7,0,0,0,1.0,1.0,2.0,5.0,0.0,3.0,0.417,3,0,-0.5,-0.866025,4,-0.433884,-0.900969,0,1.0,0.0,0.0,0.333,0.577,0.333,0.516,0.266,1.3114583333333332,32
Shankar Nagar Square,2022-08-01,LOW,0.0,2022,8,0,0,0,0.0,0.0,2.0,5.0,0.0,3.0,0.417,3,0,-0.866025,-0.5,0,0.0,1.0,0,1.0,1.0,0.0,0.667,0.577,0.5,0.548,0.534,1.3114583333333332,32
Shankar Nagar Square,2022-09-01,LOW,4.42,2022,9,1,0,1,0.0,0.0,1.0,4.0,0.0,3.0,0.333,3,0,-1.0,-0.0,3,0.433884,-0.900969,0,0.0,1.0,1.0,0.667,0.577,0.333,0.516,0.667,1.3114583333333332,32
Shankar Nagar Square,2022-10-01,LOW,0.0,2022,10,0,0,0,1.0,1.0,1.0,5.0,0.0,4.0,0.417,4,0,-0.866025,0.5,5,-0.974928,-0.222521,1,0.0,0.0,1.0,0.333,0.577,0.333,0.516,0.266,1.3114583333333332,32
Shankar Nagar Square,2022-11-01,LOW,0.0,2022,11,0,0,0,0.0,0.0,1.0,5.0,0.0,4.0,0.417,4,0,-0.5,0.866025,1,0.781831,0.62349,0,1.0,0.0,0.0,0.333,0.577,0.5,0.548,0.266,1.3114583333333332,32
Shankar Nagar Square,2022-12-01,LOW,2.76,2022,12,1,0,1,0.0,0.0,1.0,4.0,0.0,3.0,0.333,4,0,-0.0,1.0,3,0.433884,-0.900969,0,0.0,1.0,0.0,0.333,0.577,0.5,0.548,0.333,1.3114583333333332,32
Shankar Nagar Square,2023-01-01,LOW,0.0,2023,1,0,0,0,1.0,1.0,1.0,5.0,0.0,4.0,0.417,1,1,0.5,0.866025,6,-0.781831,0.62349,1,0.0,0.0,1.0,0.333,0.577,0.333,0.516,0.266,1.3114583333333332,32
Shankar Nagar Square,2023-02-01,LOW,1.1,2023,2,1,0,0,0.0,0.0,1.0,4.0,0.0,3.0,0.333,1,0,0.866025,0.5,2,0.974928,-0.222521,0,1.0,0.0,0.0,0.333,0.577,0.333,0.516,0.333,1.3114583333333332,32
